NaN	-4	-3	-2	-1	0	1	2	3	4
8.7423e-05	1.1143	0.95853	0.90674	0.96562	0.95233	0.94731	1.0021	1.0009	0.91203
8.8428e-05	1.1293	1.0017	0.91745	0.96036	0.95219	0.94335	1.0118	0.95743	0.89436
8.9433e-05	1.1329	1.0518	0.94336	0.94842	0.95196	0.94412	1.0071	0.91347	0.87125
9.0438e-05	1.1312	1.0992	0.9818	0.93494	0.95198	0.95292	0.98813	0.87575	0.84101
9.1443e-05	1.1297	1.1347	1.0264	0.92872	0.95257	0.96826	0.95526	0.84473	0.80739
9.2448e-05	1.1315	1.1547	1.0696	0.93707	0.95359	0.98131	0.91389	0.81868	0.77463
9.3452e-05	1.1379	1.1592	1.1059	0.96216	0.95449	0.98347	0.86948	0.79479	0.7476
9.4457e-05	1.1444	1.1519	1.1296	1.0026	0.95445	0.96572	0.82925	0.7736	0.73362
9.5462e-05	1.1444	1.139	1.1404	1.047	0.95363	0.93095	0.79815	0.75892	0.7341
9.6467e-05	1.1343	1.1236	1.1396	1.0866	0.95335	0.88727	0.77721	0.75327	0.74748
9.7472e-05	1.1097	1.1058	1.1271	1.1113	0.95604	0.84426	0.76902	0.76085	0.77195
9.8477e-05	1.0735	1.083	1.1047	1.1151	0.96345	0.81465	0.77389	0.77976	0.8003
9.9482e-05	1.0327	1.0549	1.0755	1.1014	0.97299	0.80167	0.78918	0.80452	0.82753
0.00010049	0.99277	1.0213	1.0406	1.0717	0.98092	0.80842	0.81441	0.8325	0.85173
0.00010149	0.95997	0.98438	1.0016	1.0296	0.98063	0.83638	0.8486	0.86245	0.8735
0.0001025	0.93393	0.94789	0.96143	0.98228	0.9731	0.87846	0.88835	0.89564	0.89772
0.0001035	0.91172	0.91357	0.92163	0.93342	0.96227	0.93113	0.93229	0.93297	0.92754
0.00010451	0.88985	0.88257	0.8843	0.88794	0.95585	0.98985	0.97884	0.97379	0.96456
0.00010551	0.86459	0.85443	0.85086	0.85007	0.95805	1.0482	1.0259	1.0151	1.0065
0.00010652	0.83702	0.82865	0.82239	0.82304	0.96725	1.1006	1.0715	1.0544	1.0475
0.00010752	0.81075	0.80656	0.80153	0.81288	0.97888	1.1377	1.1127	1.0908	1.083
0.00010853	0.78881	0.78863	0.78838	0.81896	0.98856	1.1567	1.1482	1.1247	1.1122
0.00010953	0.77487	0.77695	0.78521	0.84363	0.99471	1.1521	1.175	1.1559	1.1367
0.00011054	0.76896	0.7735	0.79428	0.88508	0.99807	1.1239	1.1893	1.1809	1.16
0.00011154	0.76847	0.77747	0.81396	0.93438	1.0002	1.0832	1.1914	1.1987	1.1831
0.00011254	0.77198	0.789	0.84405	0.98499	1.0012	1.0381	1.1805	1.2079	1.2045
0.00011355	0.78013	0.80999	0.88513	1.0239	1.001	1.0024	1.1532	1.2057	1.2173
0.00011455	0.79353	0.83831	0.93158	1.045	1.0002	0.98212	1.115	1.1941	1.2199
0.00011556	0.81332	0.87316	0.97984	1.0473	0.99954	0.97705	1.0693	1.1731	1.2127
0.00011656	0.8415	0.91419	1.0242	1.0314	0.99948	0.98541	1.0214	1.1413	1.1963
0.00011757	0.87662	0.95818	1.0579	1.0106	0.9999	0.99698	0.98056	1.1015	1.1741
0.00011857	0.91554	1.0018	1.0782	0.99459	1.0003	1.0057	0.95193	1.0578	1.1469
0.00011958	0.95621	1.0414	1.0805	0.98987	1.0004	1.008	0.94185	1.0136	1.1131
0.00012058	0.99587	1.0725	1.0657	0.99463	1.0003	1.0051	0.95058	0.97424	1.0731
0.00012159	1.0328	1.0924	1.0393	1.0017	1	1.0007	0.97205	0.94366	1.0303
0.00012259	1.0651	1.0985	1.0085	1.0054	0.99994	0.99775	0.9983	0.92617	0.98934
0.0001236	1.0901	1.0903	0.9827	1.0042	0.99998	0.9976	1.0192	0.92417	0.95497
0.0001246	1.1058	1.0696	0.96838	1.0011	1.0001	0.99926	1.0289	0.93676	0.92954
0.00012561	1.1094	1.0397	0.96967	0.99926	1.0001	1.001	1.0251	0.96173	0.9152
0.00012661	1.1001	1.007	0.98332	0.99962	1.0002	1.0016	1.0128	0.99225	0.91357
0.00012762	1.0805	0.97746	1.0015	1.0006	1.0001	1.0011	0.99906	1.0214	0.92347
0.00012862	1.0519	0.95742	1.0164	1.0009	1.0001	1.0001	0.99007	1.0419	0.94556
0.00012963	1.0193	0.95242	1.0199	1.0004	1.0001	0.99947	0.98963	1.047	0.97536
0.00013063	0.98767	0.96011	1.0141	0.99999	1.0001	0.9995	0.99448	1.0392	1.0065
0.00013164	0.96088	0.97866	1.0025	0.99998	1.0001	0.99998	1.0015	1.0208	1.0345
0.00013264	0.94569	1.0022	0.99386	1.0002	1.0001	1.0004	1.0056	0.99898	1.0521
0.00013365	0.94219	1.0219	0.99227	1.0003	1.0001	1.0005	1.0057	0.98265	1.0583
0.00013465	0.95049	1.0329	0.99709	1.0002	1.0001	1.0004	1.0027	0.97572	1.0522
